Plot,Scientific_name,Elevation,Genus,Species,Species_acronimum,N.TREE,WD_g_cm3,Ht2019_m,Sum_BA_2019.m2.,Mean.LBT_mm,Mean.LA_cm2,Mean.SLA_cm2_g,Mean.LDMC_mg_g,Mean.N.por,Mean.P.por,Mean.P.mg.g,Mean.K.mg.g,Mean.Ca.mg.g,Mean.Mg.mg.g,Mean.Fe.mg.g,Mean.Na.mg.g,Mean.Al.mg.g,Mean.Cu.mg.g,Mean.Pb.mg.g,Mean.Mn.mg.g,Mean.As.mg.g
CEDR_01,Hedyosmum cuatrecazanum,2492,Hedyosmum,cuatrecazanum,HEDCUA,3,0.45,16.43625555,0.234238719,0.485175213,38.26347436,159.4039188,135.7611766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_01,Hieronyma macrocarpa,2492,Hieronyma,macrocarpa,HIEMAC,3,0.537570845,13.72818567,0.821589311,0.414538461,87.3995641,93.61120512,239.6786033,1.607695973,0.10676635,1.0676635,20.6334225,6.232091,3.1847145,0.088367,0.141044333,0.570671833,0.005703667,0.0006675,0.195003833,-0.000372667
CEDR_01,Meliosma arenosa,2492,Meliosma,arenosa,MELARE,3,0.478893939,12.16462287,0.289448282,0.486489744,91.08784103,44.19344615,449.3665575,1.160566592,0.090758825,0.90758825,19.93028325,6.91677,1.94389625,0.062319,2.40887575,2.016508,0.004533,-0.00351675,0.1548505,-0.00074675
CEDR_01,Meriania maxima,2492,Meriania,maxima,MERMAX,3,0.49,13.47392661,0.475970138,0.244023504,141.6491859,182.6042628,193.3944962,3.153171766,0.173702767,1.737027667,34.3612835,13.98812183,2.358407,0.12435,0.119736833,15.83811,0.006784833,0.008774333,0.6280085,-0.002724667
CEDR_01,Meriania tomentosa,2492,Meriania,tomentosa,MERTOM,1,0.49,9.790239705,0.660980883,0.4244,100.649,79.9355,366.1353087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_01,Miconia clathrantha,2492,Miconia,clathrantha,MICCLA,3,0.629222222,11.21653941,0.347581097,0.294115385,56.78051496,131.3494401,196.7320543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_01,Sapium stylare,2492,Sapium,stylare,SAPSTY,3,0.47,11.66732911,0.563749375,0.304025641,54.34044444,82.21563889,369.5051207,1.916914485,0.124157433,1.241574333,12.460322,12.65049667,2.689994667,0.085010167,2.1833665,1.104499,0.004833,-0.002928333,0.056149333,-0.0009475
CEDR_01,Saurauia tomentosa,2492,Saurauia,tomentosa,SAUTOM,3,0.4106,14.79182527,0.058129674,0.555466667,163.6669576,147.8611172,187.7433853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_01,Turpinia occidentalis,2492,Turpinia,occidentalis,TUROCC,3,0.335,14.2751239,0.247155378,0.308168803,76.89664957,146.5571282,257.1064646,2.597314324,0.197676167,1.976761667,27.38554033,11.38678367,2.4390785,0.087866167,0.130715167,0.516679333,0.0059675,0.001622833,0.016900833,-0.0003865
CEDR_01,Verbesina arborea,2492,Verbesina,arborea,VERARB,2,0.537570845,5.855012085,0.014751348,0.445538462,341.9853846,348.1973846,154.6131636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_01,Weinmannia balbisiana,2492,Weinmannia,balbisiana,WEIBAL,3,0.611854167,16.77226586,0.64412781,0.36057265,29.6502906,101.6829701,439.9609708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_01,Weinmannia pinnata,2492,Weinmannia,pinnata,WEIPIN,2,0.611854167,18.49879505,2.366427444,0.226678572,43.59652244,253.1172981,404.9478109,1.385779396,0.0908222,0.908222,8.47757,6.28938025,2.04962925,0.05561725,0.367487,0.09797575,0.00338125,0.0003305,0.1255035,-0.00022375
CEDR_03,Alchornea glandulosa,2212,Alchornea,glandulosa,ALCGLA,3,0.378,14.37609335,0.367971605,0.274666667,43.85707692,224.0517949,236.3151652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_03,Beilschmiedia tovarensis,2212,Beilschmiedia,tovarensis,BEITOV,3,0.563114975,7.950219866,0.471564053,0.23902381,141.9048205,104.8260217,436.3190566,2.82,0.084772517,0.847725167,9.204226167,3.6415745,2.081520167,0.048119667,0.200517333,0.234306,0.024438333,0.004361167,0.046208833,NA
CEDR_03,Billia rosea,2212,Billia,rosea,BILROS,1,0.69,11.59795106,0.488615048,0.181538462,82.41969231,129.6855842,132.6315394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_03,Blakea rotundifolia,2212,Blakea,rotundifolia,BLAROT,3,0.71,15.52509596,0.492198033,0.495942857,341.8329857,57.29604762,306.3165163,1.345780122,0.06396995,0.6396995,4.565205667,5.684708,2.300169,0.054383,0.094724667,0.22264,0.005691667,0.0001615,0.016676333,0.000347333
CEDR_03,Chrysochlamys colombiana,2212,Chrysochlamys,colombiana,CHRCOL,3,0.43,14.2313106,1.923994594,0.410376984,30.92526496,130.7173988,181.6693786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_03,Clusia alata,2212,Clusia,alata,CLUALA,3,0.56,7.109810133,0.002375829,0.495846154,215.216359,91.82351282,200.3326607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_03,Critoniopsis occidentalis,2212,Critoniopsis,occidentalis,CRIOCC,3,0.544451525,16.02409269,0.842978844,0.187089744,161.7480692,206.9750643,200.5643491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_03,Croton floccosus,2212,Croton,floccosus,CROFLO,2,NA,NA,0.112815378,0.325090909,91.6232841,324.7210228,187.337637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_03,Ficus dulciaria,2212,Ficus,dulciaria,FICDUL,3,0.405534662,8.431072795,0.799714402,0.388974359,105.967,126.0165641,252.9392317,2.277413479,0.110206825,1.10206825,10.0615885,10.06964,2.440467,0.078679,1.54054075,0.94432925,0.0080595,-0.00404675,0.03508125,-0.000577
CEDR_03,Gordonia fruticosa,2212,Gordonia,fruticosa,GORFRU,3,0.5185,18.84740548,0.662303495,0.308617521,29.35359615,121.5673578,297.3445027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_03,Guarea kunthiana,2212,Guarea,kunthiana,GUAKUN,3,0.616166667,11.60465671,0.047147452,0.362597436,301.1680436,88.57978975,317.996524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
