"","x1","x2","sor_diss","sor_turn","sor_nest"
"71","INTI_02","RIBR_01",0.769479626017113,0.456160883731699,0.313318742285415
"72","INTI_02","VERD_01",0.923171806538873,0.845291737272145,0.0778800692667274
"73","INTI_02","VERD_02",0.881584740036624,0.532616056820483,0.34896868321614
"74","INTI_02","VERD_03",0.971008688503053,0.800563968082183,0.17044472042087
"75","INTI_02","YANA_01",0.97597894279011,0.39895614790379,0.57702279488632
"76","MALO_01","MALO_02",0.653496036723434,0.15726941756991,0.496226619153524
"77","MALO_01","MAPI_01",0.395540418894968,0.0312608844297356,0.364279534465232
"78","MALO_01","MAPI_02",0.655063751262429,0.0996886265910048,0.555375124671424
"79","MALO_01","MIND_01",0.899708982268419,0.192990370228361,0.706718612040058
"80","MALO_01","RIBR_01",0.964582673903311,0.42970698307771,0.534875690825601
