Plot,Scientific_name,Scientific_name_plot,Ht2019,LA,SLA,BA,RC_BA
MIND_01,Faramea_langlassei,Faramea_langlassei_MIND_01,10.02147424,73.36210043,140.6069848,0.117661279,0.343017899
MALO_02,Faramea_parvibractea,Faramea_parvibractea_MALO_02,9.147396529,68.30319231,148.2965,0.013713837,0.117106093
INTI_02,Ficus_brevibracteata,Ficus_brevibracteata_INTI_02,16.41202978,121.248641,202.3151194,0.129295387,0.359576677
INTI_02,Ficus_cervantesiana,Ficus_cervantesiana_INTI_02,23.97766058,58.47569231,102.9139748,0.13445781,0.366684892
MALO_01,Ficus_cf_caldasiana,Ficus_cf_caldasiana_MALO_01,16.14801599,276.397125,202.7252997,0.129844381,0.360339258
CEDR_03,Ficus_dulciaria,Ficus_dulciaria_CEDR_03,8.431072795,105.967,126.0165641,0.799714402,0.894267523
INTI_02,Ficus_dulciaria,Ficus_dulciaria_INTI_02,16.47955503,81.1485,136.6505005,0.202660214,0.45017798
MAPI_01,Ficus_trianae,Ficus_trianae_MAPI_01,15.25783264,82.80923077,123.6190832,0.026089356,0.161521999
VERD_03,Freziera_canescens,Freziera_canescens_VERD_03,13.6833457,46.59905128,50.88689744,0.820610705,0.905875656
VERD_02,Freziera_verrucosa,Freziera_verrucosa_VERD_02,13.27323164,74.60940812,59.4263278,0.816890273,0.903819823
VERD_01,Geissanthus_andinus,Geissanthus_andinus_VERD_01,7.587474155,23.25520513,62.28603447,1.928164269,1.388583548
MALO_02,Gloeospermum_aff_grandifolium,Gloeospermum_aff_grandifolium_MALO_02,33.175,93.50830768,272.1785769,0.59758433,0.773035788
CEDR_03,Gordonia_fruticosa,Gordonia_fruticosa_CEDR_03,18.84740548,29.35359615,121.5673578,0.662303495,0.813820309
BECL_03,Graffenrieda_1inECPI,Graffenrieda_1inECPI_BECL_03,5.067232736,174.8882308,100.3403077,0.008574191,0.092596928
MIND_01,Graffenrieda_cucullata,Graffenrieda_cucullata_MIND_01,10.5,170.8491667,154.1756667,0.024605739,0.156862166
MAPI_01,Guapira_opposita,Guapira_opposita_MAPI_01,22.00079767,29.70608333,218.4818686,0.046759465,0.21623937
MALO_02,Guarea_cartaguenya,Guarea_cartaguenya_MALO_02,8.482012423,324.4458974,186.5443329,0.451726466,0.672105993
MALO_02,Guarea_glabra,Guarea_glabra_MALO_02,10.60883732,75.77940812,256.6958321,0.214222846,0.462842139
BECL_01,Guarea_kunthiana,Guarea_kunthiana_BECL_01,8.172001543,355.5244231,64.33087821,0.005608528,0.074890106
BECL_03,Guarea_kunthiana,Guarea_kunthiana_BECL_03,10.68751676,319.1512308,64.03676923,0.058582849,0.242038941
CEDR_01,Guarea_kunthiana,Guarea_kunthiana_CEDR_01,10.70751871,233.130965,103.293338,0.361701771,0.601416471
